"name","region","country","date","Value"
Death Cases,Latin America & The Caribbean,Guyana,2021-03-01 00:00:00,2.0000
Death Cases,Sub-Saharan Africa,Guinea-Bissau,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Guinea,2021-03-01 00:00:00,0.0000
Death Cases,Latin America & The Caribbean,Guatemala,2021-03-01 00:00:00,9.0000
Death Cases,Latin America & The Caribbean,Grenada,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Greece,2021-03-01 00:00:00,30.0000
Death Cases,Sub-Saharan Africa,Ghana,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Germany,2021-03-01 00:00:00,362.0000
Death Cases,Europe & Central Asia,Georgia,2021-03-01 00:00:00,10.0000
Death Cases,Sub-Saharan Africa,Gambia,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Gabon,2021-03-01 00:00:00,4.0000
Death Cases,Europe & Central Asia,France,2021-03-01 00:00:00,375.0000
Death Cases,Europe & Central Asia,Finland,2021-03-01 00:00:00,8.0000
Death Cases,East Asia & Pacific,Fiji,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Ethiopia,2021-03-01 00:00:00,8.0000
Death Cases,Sub-Saharan Africa,Eswatini,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Estonia,2021-03-01 00:00:00,9.0000
Death Cases,Sub-Saharan Africa,Eritrea,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Equatorial Guinea,2021-03-01 00:00:00,1.0000
Death Cases,Latin America & The Caribbean,El Salvador,2021-03-01 00:00:00,7.0000
Death Cases,Middle East & North Africa,Egypt,2021-03-01 00:00:00,48.0000
Death Cases,Latin America & The Caribbean,Ecuador,2021-03-01 00:00:00,21.0000
Death Cases,Latin America & The Caribbean,Dominican Republic,2021-03-01 00:00:00,6.0000
Death Cases,Latin America & The Caribbean,Dominica,2021-03-01 00:00:00,0.0000
Death Cases,Middle East & North Africa,Djibouti,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Denmark,2021-03-01 00:00:00,4.0000
Death Cases,Europe & Central Asia,Czechia,2021-03-01 00:00:00,130.0000
Death Cases,Europe & Central Asia,Cyprus,2021-03-01 00:00:00,0.0000
